序號,英文名稱,中文名稱,中國大陸譯名,來源網站
259,endocrine,內分泌,内分泌,https://terms.naer.edu.tw/
260,endocrine gland,內分泌腺,内分泌腺,https://terms.naer.edu.tw/
261,endocrine system,內分泌系統,内分泌系统,https://terms.naer.edu.tw/
262,enriched food,營養強化食品；強化食品；營養強化食品,强化食品,https://terms.naer.edu.tw/
263,enteritis,腸炎,肠炎,https://terms.naer.edu.tw/
264,enuresis,遺尿症；尿床；夜尿症；遺尿,遗尿,https://terms.naer.edu.tw/
265,epidermis,表皮,表皮,https://terms.naer.edu.tw/
266,epididymis,附睪；副睪,附睾,https://terms.naer.edu.tw/
267,epilepsy,癲癇(症),癫痫,https://terms.naer.edu.tw/
268,epistaxis,流鼻血,鼻出血,https://terms.naer.edu.tw/
269,epithelial tissue,上皮組織,上皮组织,https://terms.naer.edu.tw/
270,erector spinae,豎棘肌；腰背肌；豎脊肌,竖脊肌,https://terms.naer.edu.tw/
271,erosion,磨損；糜爛；腐蝕；沖蝕； 侵蝕[作用]；沖刷；潰蝕； 水蝕作用,糜烂,https://terms.naer.edu.tw/
272,erysipelas,丹毒,丹毒,https://terms.naer.edu.tw/
273,erythrocyte,紅血球,红细胞,https://terms.naer.edu.tw/
274,esophagus,食管；食道　,食管,https://terms.naer.edu.tw/
275,esophagus cancer,食道癌,食管癌,https://terms.naer.edu.tw/
276,essential amino acid,必要氨基酸；必需氨基酸；必需胺基酸,必需氨基酸,https://terms.naer.edu.tw/
277,essential fatty acid,必需脂肪酸,必需脂肪酸,https://terms.naer.edu.tw/
278,ethmoid bone,篩骨,筛骨,https://terms.naer.edu.tw/
279,euchromosome,常染色體,常染色体,https://terms.naer.edu.tw/
280,excretion,排泄[作用]；分泌；排出；內增結核；排泄物,排泄,https://terms.naer.edu.tw/
281,Expiration Date,截止日期；失效日期； 過期日期；到期日,失效期,https://terms.naer.edu.tw/
282,external acoustic meatus,外耳道,外耳道,https://terms.naer.edu.tw/
283,external jugular vein,頸外靜脈,颈外静脉,https://terms.naer.edu.tw/
284,extrapyramidal system,錐體外系統,锥体外系,https://terms.naer.edu.tw/
